"Region",".y.","n","statistic","df","p","method"
"CRS","Area",258,156.306244905062,2,1.14e-34,"Kruskal-Wallis"
"DSH","Area",192,140.550050454574,2,3.02e-31,"Kruskal-Wallis"
"DST/F","Area",177,107.660157062937,2,4.19e-24,"Kruskal-Wallis"
"DST/H","Area",185,143.563593020248,2,6.69e-32,"Kruskal-Wallis"
"LIF","Area",147,118.269484186223,2,2.08e-26,"Kruskal-Wallis"
"RIF","Area",166,123.198805695764,2,1.77e-27,"Kruskal-Wallis"
"VSH","Area",169,125.559282493787,2,5.43e-28,"Kruskal-Wallis"
"VST","Area",254,98.483899911814,2,4.12e-22,"Kruskal-Wallis"
"VST/F","Area",145,106.315076454014,2,8.2e-24,"Kruskal-Wallis"
"VST/H","Area",179,85.9401899499626,2,2.18e-19,"Kruskal-Wallis"
