"Region",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"CRS","Area","24 months","4 months",109,84,8.05691802946207,7.82420795293382e-16,2.34726238588015e-15,"****"
"CRS","Area","24 months","48 months",109,65,11.997037924062,3.68240593780837e-33,1.10472178134251e-32,"****"
"CRS","Area","4 months","48 months",84,65,4.2999852959057,1.70809442281443e-05,5.1242832684433e-05,"****"
"DSH","Area","24 months","4 months",86,44,11.5548491804969,6.9769862024721e-31,2.09309586074163e-30,"****"
"DSH","Area","24 months","48 months",86,62,6.80817450771681,9.88449232349691e-12,2.96534769704907e-11,"****"
"DSH","Area","4 months","48 months",44,62,-5.11078770511917,3.20818334981093e-07,9.6245500494328e-07,"****"
"DST/F","Area","24 months","4 months",78,36,10.3138309680439,6.10193645661204e-25,1.83058093698361e-24,"****"
"DST/F","Area","24 months","48 months",78,63,4.92476381309004,8.44623087508122e-07,2.53386926252437e-06,"****"
"DST/F","Area","4 months","48 months",36,63,-5.95383777631664,2.61926440373017e-09,7.85779321119052e-09,"****"
"DST/H","Area","24 months","4 months",92,41,11.3133465413464,1.1270710264333e-29,3.3812130792999e-29,"****"
"DST/H","Area","24 months","48 months",92,52,7.49464908374091,6.64759712383452e-14,1.99427913715036e-13,"****"
"DST/H","Area","4 months","48 months",41,52,-3.94574473328462,7.95523304928121e-05,0.000238656991478436,"***"
"LIF","Area","24 months","4 months",71,31,10.3244200577096,5.46480419482824e-25,1.63944125844847e-24,"****"
"LIF","Area","24 months","48 months",71,45,6.7543047465595,1.43521801793643e-11,4.3056540538093e-11,"****"
"LIF","Area","4 months","48 months",31,45,-4.00832774690988,6.11502167181402e-05,0.000183450650154421,"***"
"RIF","Area","24 months","4 months",76,38,10.8356364326644,2.33337195069646e-27,7.00011585208939e-27,"****"
"RIF","Area","24 months","48 months",76,52,6.22437421871807,4.83481838144845e-10,1.45044551443454e-09,"****"
"RIF","Area","4 months","48 months",38,52,-4.83857533408089,1.30773128227007e-06,3.92319384681021e-06,"****"
"VSH","Area","24 months","4 months",86,40,9.50959506244711,1.91406148285006e-21,5.74218444855019e-21,"****"
"VSH","Area","24 months","48 months",86,43,8.69791203327888,3.38046421921178e-18,1.01413926576353e-17,"****"
"VSH","Area","4 months","48 months",40,43,-0.889785742767849,0.373580943493213,1,"ns"
"VST","Area","24 months","4 months",99,74,9.76689212172247,1.5616922111505e-22,4.6850766334515e-22,"****"
"VST","Area","24 months","48 months",99,81,5.86511122308934,4.48831734255493e-09,1.34649520276648e-08,"****"
"VST","Area","4 months","48 months",74,81,-3.86893984131788,0.000109309605692935,0.000327928817078806,"***"
"VST/F","Area","24 months","4 months",66,39,9.38972604090714,6.01565201353712e-21,1.80469560406114e-20,"****"
"VST/F","Area","24 months","48 months",66,40,7.46558919159121,8.29276956933386e-14,2.48783087080016e-13,"****"
"VST/F","Area","4 months","48 months",39,40,-1.77978617781513,0.0751109605445681,0.225332881633704,"ns"
"VST/H","Area","24 months","4 months",72,36,8.61399903516875,7.05552868782641e-18,2.11665860634792e-17,"****"
"VST/H","Area","24 months","48 months",72,71,0.37441948395156,0.708092249326113,1,"ns"
"VST/H","Area","4 months","48 months",36,71,-8.28778014166107,1.15381604016567e-16,3.46144812049702e-16,"****"
