"Region",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"CRS","No_celulas","24 months","4 months",109,84,1.47135764762391,0.141194420750317,0.42358326225095,"ns"
"CRS","No_celulas","24 months","48 months",109,65,9.26619464597351,1.9290557782678e-20,5.78716733480341e-20,"****"
"CRS","No_celulas","4 months","48 months",84,65,7.49726853304826,6.51614001803858e-14,1.95484200541158e-13,"****"
"DSH","No_celulas","24 months","4 months",86,44,9.79111127611038,1.22937199008943e-22,3.6881159702683e-22,"****"
"DSH","No_celulas","24 months","48 months",86,62,6.39084179162757,1.64975004706722e-10,4.94925014120166e-10,"****"
"DSH","No_celulas","4 months","48 months",44,62,-3.80507504969603,0.000141761201079199,0.000425283603237598,"***"
"DST/F","No_celulas","24 months","4 months",78,36,8.91528021665562,4.86584205311117e-19,1.45975261593335e-18,"****"
"DST/F","No_celulas","24 months","48 months",78,63,2.98658331546489,0.00282113954289761,0.00846341862869284,"**"
"DST/F","No_celulas","4 months","48 months",36,63,-6.176485792758,6.55441046848395e-10,1.96632314054518e-09,"****"
"DST/H","No_celulas","24 months","4 months",92,41,10.3870059070407,2.84132748257487e-25,8.52398244772462e-25,"****"
"DST/H","No_celulas","24 months","48 months",92,52,5.48665383574928,4.09618711968532e-08,1.2288561359056e-07,"****"
"DST/H","No_celulas","4 months","48 months",41,52,-4.78091932730571,1.74495380108766e-06,5.23486140326298e-06,"****"
"LIF","No_celulas","24 months","4 months",71,31,7.60484770192403,2.85239594414598e-14,8.55718783243795e-14,"****"
"LIF","No_celulas","24 months","48 months",71,45,-0.713652038435131,0.475442370642701,1,"ns"
"LIF","No_celulas","4 months","48 months",31,45,-7.59650783076125,3.04228898699969e-14,9.12686696099908e-14,"****"
"RIF","No_celulas","24 months","4 months",76,38,8.69967019916905,3.32850092159038e-18,9.98550276477113e-18,"****"
"RIF","No_celulas","24 months","48 months",76,52,4.04015785123986,5.34152381686461e-05,0.000160245714505938,"***"
"RIF","No_celulas","4 months","48 months",38,52,-4.69199195311341,2.70557771878927e-06,8.11673315636782e-06,"****"
"VSH","No_celulas","24 months","4 months",86,40,9.8930592877747,4.46180177790761e-23,1.33854053337228e-22,"****"
"VSH","No_celulas","24 months","48 months",86,43,6.12414869406603,9.11697270608522e-10,2.73509181182556e-09,"****"
"VSH","No_celulas","4 months","48 months",40,43,-3.41216163528602,0.000644498850355891,0.00193349655106767,"**"
"VST","No_celulas","24 months","4 months",99,74,2.50578815498469,0.0122178797918932,0.0366536393756795,"*"
"VST","No_celulas","24 months","48 months",99,81,-10.2762036869359,9.02112154201671e-25,2.70633646260501e-24,"****"
"VST","No_celulas","4 months","48 months",74,81,-11.9687392856641,5.18098681222121e-33,1.55429604366636e-32,"****"
"VST/F","No_celulas","24 months","4 months",66,39,3.96528677268776,7.33077589230598e-05,0.000219923276769179,"***"
"VST/F","No_celulas","24 months","48 months",66,40,1.79029821211333,0.0734059835468535,0.22021795064056,"ns"
"VST/F","No_celulas","4 months","48 months",39,40,-1.96474817093234,0.0494433916032815,0.148330174809845,"ns"
"VST/H","No_celulas","24 months","4 months",72,36,6.4676300330729,9.95518656739108e-11,2.98655597021732e-10,"****"
"VST/H","No_celulas","24 months","48 months",72,71,-4.91606576276658,8.83007460690066e-07,2.6490223820702e-06,"****"
"VST/H","No_celulas","4 months","48 months",36,71,-10.4711383992669,1.17224689540787e-25,3.51674068622361e-25,"****"
